table_name,row_count,min_activity_at,max_activity_at
raw_abandoned_carts,6558,2023-01-04 18:29:59,2025-09-29 21:35:44
raw_customer_support,1943,2023-01-09 00:00:00,2025-09-29 00:00:00
raw_marketing,64,2023-01-19 00:00:00,2025-10-13 00:00:00
raw_orders,18662,2023-01-01 00:00:00,2025-09-29 00:00:00
raw_reviews,5528,2023-01-03 00:00:00,2025-10-29 00:00:00
raw_shipping,15863,2023-01-04 00:00:00,2025-10-09 00:00:00
raw_subscriptions,2536,2023-01-08 00:00:00,2026-09-29 00:00:00
raw_user_sessions,69403,2023-01-01 00:14:34,2025-09-30 00:33:35
